frecuency,elastic_modulu,viscous_modulu
300.0,1245154.0,200793.8
250.0,1220520.0,200805.6
208.3333,1195835.0,202288.5
173.6111,1170983.0,203290.7
144.6759,1146037.0,203806.9
120.5633,1121071.0,203838.5
100.4694,1096158.0,203393.9
83.72449,1071368.0,202487.7
69.77041,1046768.0,201140.4
58.14201,1022419.0,199377.9
48.45167,998380.5,197230.4
40.3764,974701.9,194731.4
33.647,951428.4,191917.2
28.03916,928598.5,188825.5
23.36597,906243.9,185494.7
19.47164,884390.2,181963.6
16.22637,863056.8,178270.3
13.52197,842257.4,174451.5
11.26831,822000.1,170542.8
9.390259,802287.8,166577.3
7.825216,783118.7,162585.8
6.521013,764487.3,158596.4
5.434178,746384.1,154634.1
4.528481,728797.2,150720.9
3.773735,711711.9,146875.8
3.144779,695112.0,143115.1
2.620649,678979.8,139452.3
2.183874,663296.8,135898.2
1.819895,648043.3,132461.7
1.516579,633199.5,129148.8
1.263816,618745.6,125963.9
1.05318,604662.2,122909.3
0.87765,590930.7,119985.9
0.731375,577533.3,117193.6
0.6094792,564452.9,114532.0
0.5078993,551673.2,112000.3
0.4232494,539178.3,109597.4
0.3527079,526952.9,107322.6
0.2939232,514981.3,105175.1
0.244936,503248.3,103154.5
0.2041134,491738.0,101260.3
0.1700945,480433.7,99491.61
0.1417454,469317.9,97847.25
0.1181212,458372.0,96324.35
0.09843429,447576.4,94917.4
0.08202858,436912.3,93616.98
0.06835715,426363.5,92409.29
0.05696429,415919.7,91277.23
0.04747024,405578.6,90203.65
0.03955853,395346.0,89175.98
0.03296545,385232.6,88190.6
0.0274712,375248.5,87254.76
0.02289267,365397.3,86384.96
0.01907723,355672.2,85602.2
0.01589769,346055.2,84925.99
0.01324807,336519.5,84369.11
0.01104006,327033.5,83934.32
0.009200051,317566.7,83613.6
0.007666709,308093.8,83389.99
0.006388924,298598.5,83241.65
0.005324104,289073.4,83146.89
0.004436753,279517.6,83088.04
0.003697294,269932.6,83053.04
0.003081078,260318.8,83034.75
0.002567565,250672.0,83028.2
