time,modulu
3e-11,86975930.0
3.6e-11,85304430.0
4.32e-11,83377930.0
5.184e-11,81174340.0
6.2208e-11,78676160.0
7.46496e-11,75873270.0
8.957952e-11,72766120.0
1.074954e-10,69368910.0
1.289945e-10,65712280.0
1.547934e-10,61844750.0
1.857521e-10,57831910.0
2.229025e-10,53752750.0
2.67483e-10,49692940.0
3.209796e-10,45735720.0
3.851755e-10,41952290.0
4.622106e-10,38394320.0
5.546528e-10,35090770.0
6.655833e-10,32048610.0
7.987e-10,29259400.0
9.5844e-10,26713330.0
1.150128e-09,24389230.0
1.380154e-09,22267810.0
1.656184e-09,20331450.0
1.987421e-09,18564080.0
2.384905e-09,16951040.0
2.861886e-09,15478970.0
3.434264e-09,14135670.0
4.121117e-09,12910050.0
4.94534e-09,11791970.0
5.934408e-09,10772250.0
7.121289e-09,9842487.0
8.545547e-09,8995086.0
1.025466e-08,8223131.0
1.230559e-08,7520370.0
1.476671e-08,6881141.0
1.772005e-08,6300341.0
2.126406e-08,5773377.0
2.551687e-08,5296128.0
3.062024e-08,4864908.0
3.674429e-08,4476432.0
4.409315e-08,4127771.0
5.291178e-08,3816314.0
6.349413e-08,3539722.0
7.619296e-08,3295864.0
9.143155e-08,3082762.0
1.097179e-07,2898512.0
1.316614e-07,2741192.0
1.579937e-07,2608792.0
1.895925e-07,2499111.0
2.27511e-07,2409712.0
2.730131e-07,2337895.0
3.276158e-07,2280741.0
3.931389e-07,2235222.0
4.717667e-07,2198387.0
5.661201e-07,2167584.0
6.793441e-07,2140665.0
8.152129e-07,2116119.0
9.782555e-07,2093068.0
1.173907e-06,2071140.0
1.408688e-06,2050270.0
1.690425e-06,2030512.0
2.028511e-06,2011906.0
2.434213e-06,1994440.0
2.921055e-06,1978051.0
3.505266e-06,1962646.0
4.206319e-06,1948130.0
5.047583e-06,1934406.0
6.0571e-06,1921388.0
7.26852e-06,1908994.0
8.722224e-06,1897148.0
1.046667e-05,1885782.0
1.256e-05,1874831.0
1.5072e-05,1864236.0
1.80864e-05,1853942.0
2.170368e-05,1843898.0
2.604442e-05,1834056.0
3.125331e-05,1824372.0
3.750397e-05,1814805.0
4.500476e-05,1805316.0
5.400571e-05,1795867.0
6.480685e-05,1786425.0
7.776822e-05,1776956.0
9.332187e-05,1767431.0
0.0001119862,1757820.0
0.0001343835,1733777.0
0.0001612602,1725636.0
0.0001935122,1717168.0
