Angular Frequency,Storage Modulus,Loss Modulus
9.658717e-07,4.275594e-09,0.01780037
1.159046e-06,6.156855e-09,0.02136044
1.390855e-06,8.865872e-09,0.02563253
1.669026e-06,1.276686e-08,0.03075904
2.002832e-06,1.838427e-08,0.03691084
2.403398e-06,2.647335e-08,0.04429301
2.884077e-06,3.812163e-08,0.05315162
3.460893e-06,5.489514e-08,0.06378194
4.153072e-06,7.9049e-08,0.07653833
4.983686e-06,1.138306e-07,0.09184599
5.980423e-06,1.63916e-07,0.1102152
7.176508e-06,2.360391e-07,0.1322582
8.611809e-06,3.398962e-07,0.1587099
1.033417e-05,4.894506e-07,0.1904518
1.240101e-05,7.048088e-07,0.2285422
1.488121e-05,1.014925e-06,0.2742507
1.785745e-05,1.461492e-06,0.3291008
2.142894e-05,2.104548e-06,0.394921
2.571472e-05,3.030549e-06,0.4739051
3.085767e-05,4.363991e-06,0.5686862
3.70292e-05,6.284146e-06,0.6824234
4.443504e-05,9.049171e-06,0.8189081
5.332205e-05,1.303081e-05,0.9826897
6.398646e-05,1.876436e-05,1.179228
7.678376e-05,2.702068e-05,1.415073
9.214051e-05,3.890978e-05,1.698088
0.0001105686,5.603008e-05,2.037705
0.0001326823,8.068332e-05,2.445246
0.0001592188,0.000116184,2.934296
0.0001910626,0.0001673049,3.521155
0.0002292751,0.0002409191,4.225386
0.0002751301,0.0003469235,5.070463
0.0003301561,0.0004995698,6.084556
0.0003961873,0.0007193805,7.301467
0.0004754248,0.001035908,8.76176
0.0005705097,0.001491707,10.51411
0.0006846117,0.002148058,12.61693
0.000821534,0.003093203,15.14032
0.0009858408,0.004454212,18.16838
0.001183009,0.006414063,21.80206
0.001419611,0.009236246,26.16247
0.001703533,0.01330019,31.39496
0.00204424,0.01915225,37.67394
0.002453087,0.0275792,45.20871
0.002943705,0.03971397,54.25043
0.003532446,0.05718796,65.10047
0.004238935,0.08235034,78.12049
0.005086722,0.1185838,93.74447
0.006104067,0.1707593,112.4931
0.00732488,0.2458904,134.9914
0.008789856,0.354076,161.989
0.01054783,0.5098568,194.3857
0.01265739,0.7341675,233.2609
0.01518887,1.057147,279.9097
0.01822665,1.522178,335.8859
0.02187197,2.191703,403.0531
0.02624637,3.155567,483.6464
0.03149564,4.543013,580.3459
0.03779477,6.539859,696.3637
