Time,Relaxation Modulus
3e-11,86982980.0
3.6e-11,85310170.0
4.32e-11,83382340.0
5.184e-11,81177450.0
6.2208e-11,78678090.0
7.46496e-11,75874230.0
8.957952e-11,72766430.0
1.074954e-10,69369030.0
1.289945e-10,65712800.0
1.547934e-10,61846380.0
1.857521e-10,57835420.0
2.229025e-10,53758950.0
2.67483e-10,49702560.0
3.209796e-10,45749340.0
3.851755e-10,41970260.0
4.622106e-10,38416750.0
5.546528e-10,35117510.0
6.655833e-10,32079430.0
7.987e-10,29293860.0
9.5844e-10,26750840.0
1.150128e-09,24429380.0
1.380154e-09,22310060.0
1.656184e-09,20375380.0
1.987421e-09,18609300.0
2.384905e-09,16997160.0
2.861886e-09,15525560.0
3.434264e-09,14182380.0
4.121117e-09,12956480.0
4.94534e-09,11837710.0
5.934408e-09,10816940.0
7.121289e-09,9885717.0
8.545547e-09,9036414.0
1.025466e-08,8262141.0
1.230559e-08,7556566.0
1.476671e-08,6914009.0
1.772005e-08,6329340.0
2.126406e-08,5797896.0
2.551687e-08,5315524.0
3.062024e-08,4878460.0
3.674429e-08,4483377.0
4.409315e-08,4127267.0
5.291178e-08,3807489.0
6.349413e-08,3521662.0
7.619296e-08,3267637.0
9.143155e-08,3043467.0
1.097179e-07,2847306.0
1.316614e-07,2677362.0
1.579937e-07,2531804.0
1.895925e-07,2408714.0
2.27511e-07,2305962.0
2.730131e-07,2221210.0
3.276158e-07,2151884.0
3.931389e-07,2095239.0
4.717667e-07,2048489.0
5.661201e-07,2008983.0
6.793441e-07,1974406.0
8.152129e-07,1942945.0
9.782555e-07,1913367.0
1.173907e-06,1884973.0
1.408688e-06,1857464.0
1.690425e-06,1830767.0
2.028511e-06,1804882.0
2.434213e-06,1779799.0
2.921055e-06,1755468.0
3.505266e-06,1731810.0
4.206319e-06,1708729.0
5.047583e-06,1686130.0
6.0571e-06,1663918.0
7.26852e-06,1642008.0
8.722224e-06,1620316.0
1.046667e-05,1598768.0
1.256e-05,1577289.0
1.5072e-05,1555812.0
1.80864e-05,1534270.0
2.170368e-05,1512603.0
2.604442e-05,1490749.0
3.125331e-05,1468653.0
3.750397e-05,1446261.0
4.500476e-05,1423523.0
5.400571e-05,1400392.0
6.480685e-05,1366129.0
7.776822e-05,1344079.0
9.332187e-05,1321245.0
0.0001119862,1297609.0
0.0001343835,1273155.0
0.0001612602,1247870.0
0.0001935122,1221739.0
0.0002322147,1194748.0
0.0002786576,1166884.0
0.0003343891,1138133.0
0.000401267,1108485.0
0.0004815203,1077936.0
0.0005778244,1046491.0
0.0006933893,1014167.0
0.0008320672,980994.7
0.0009984806,947021.4
0.001198177,912309.4
0.001437812,876938.6
0.001725374,841007.2
