id,simulation_id,frequency,elastic_modulu,viscous_modulu
267,1,0.0009762156,0.2368584,127.7294
266,1,0.001073837,0.2865984,140.5022
265,1,0.001181221,0.3467835,154.5522
264,1,0.001299343,0.4196074,170.0072
263,1,0.001429277,0.5077239,187.0077
262,1,0.001572205,0.6143443,205.708
261,1,0.001729426,0.7433544,226.2783
260,1,0.001902368,0.8994556,248.9054
259,1,0.002092605,1.088336,273.795
258,1,0.002301865,1.31688,301.1733
257,1,0.002532052,1.593415,331.289
256,1,0.002785257,1.928017,364.4157
255,1,0.003063783,2.332878,400.8543
254,1,0.003370161,2.82275,440.9359
253,1,0.003707177,3.41548,485.0243
252,1,0.004077895,4.132662,533.5198
251,1,0.004485684,5.00042,586.8626
250,1,0.004934253,6.050359,645.5367
249,1,0.005427678,7.320718,710.0741
248,1,0.005970446,8.85775,781.0599
247,1,0.00656749,10.71741,859.1371
246,1,0.00722424,12.96739,945.0125
245,1,0.007946663,15.68954,1039.463
244,1,0.00874133,18.98289,1143.341
243,1,0.009615463,22.96715,1257.585
242,1,0.01057701,27.78713,1383.223
241,1,0.01163471,33.61784,1521.386
240,1,0.01279818,40.67089,1673.312
239,1,0.014078,49.20196,1840.36
238,1,0.0154858,59.52002,2024.02
237,1,0.01703438,71.99822,2225.921
236,1,0.01873782,87.08711,2447.847
235,1,0.0206116,105.3304,2691.745
234,1,0.02267276,127.3841,2959.742
233,1,0.02494003,154.0386,3254.15
232,1,0.02743404,186.2461,3577.484
231,1,0.03017744,225.1524,3932.468
230,1,0.03319519,272.1343,4322.042
229,1,0.0365147,328.8443,4749.371
228,1,0.04016617,397.2621,5217.839
227,1,0.04418279,479.7545,5731.045
226,1,0.04860107,579.1439,6292.785
225,1,0.05346118,698.7856,6907.021
224,1,0.0588073,842.6537,7577.833
223,1,0.06468803,1015.433,8309.354
222,1,0.07115683,1222.619,9105.67
221,1,0.07827251,1470.608,9970.689
220,1,0.08609976,1766.793,10907.97
219,1,0.09470974,2119.625,11920.51
218,1,0.1041807,2538.651,13010.46
217,1,0.1145988,3034.495,14178.82
216,1,0.1260587,3618.749,15425.05
215,1,0.1386645,4303.77,16746.68
214,1,0.152531,5102.329,18138.9
213,1,0.1677841,6027.103,19594.21
212,1,0.1845625,7089.989,21102.1
211,1,0.2030187,8301.261,22649.04
210,1,0.2233206,9668.611,24218.58
209,1,0.2456527,11196.16,25791.89
208,1,0.2702179,12883.56,27348.6
207,1,0.2972397,14725.37,28868.03
206,1,0.3269637,16710.81,30330.66
205,1,0.3596601,18824.01,31719.66
204,1,0.3956261,21044.85,33022.38
203,1,0.4351887,23350.21,34231.43
202,1,0.4787076,25715.52,35345.33
201,1,0.5265783,28116.42,36368.54
200,1,0.5792361,30530.23,37311.03
199,1,0.6371598,32937.11,38187.39
198,1,0.7008757,35320.78,39015.83
197,1,0.7709633,37668.88,39817.05
196,1,0.8480596,39972.97,40613.27
195,1,0.9328656,42228.23,41427.49
194,1,1.026152,44433.19,42282.92
193,1,1.128767,46589.28,43202.68
192,1,1.241644,48700.53,44209.59
191,1,1.365809,50773.32,45326.19
190,1,1.502389,52816.28,46574.68
189,1,1.652628,54840.19,47976.98
188,1,1.817891,56858.1,49554.75
187,1,1.99968,58885.43,51329.26
186,1,2.199648,60940.16,53321.31
185,1,2.419613,63043.01,55550.96
184,1,2.661574,65217.67,58037.16
183,1,2.927732,67490.88,60797.34
182,1,3.220505,69892.55,63846.72
181,1,3.542556,72455.62,67197.73
180,1,3.896811,75215.81,70859.18
179,1,4.286492,78211.17,74835.49
178,1,4.715141,81481.31,79125.98
177,1,5.186656,85066.4,83724.28
176,1,5.705321,89006.0,88617.96
175,1,6.275853,93337.67,93788.48
174,1,6.903439,98095.52,99211.59
173,1,7.593782,103308.9,104858.1
172,1,8.353161,109001.5,110694.8
171,1,9.188477,115190.1,116686.5
170,1,10.10732,121884.9,122796.9
169,1,11.11806,129089.4,128990.5
168,1,12.22986,136801.1,135234.1
167,1,13.45285,145012.2,141497.6
166,1,14.79813,153711.3,147755.2
165,1,16.27795,162883.8,153985.1
164,1,17.90574,172513.9,160170.2
163,1,19.69632,182585.0,166297.5
162,1,21.66595,193080.7,172357.9
161,1,23.83254,203985.6,178345.4
160,1,26.2158,215285.6,184256.6
159,1,28.83738,226968.3,190090.1
158,1,31.72111,239022.7,195846.2
157,1,34.89323,251439.8,201525.8
156,1,38.38255,264212.2,207130.7
155,1,42.2208,277334.1,212662.5
154,1,46.44288,290801.1,218122.7
153,1,51.08717,304610.0,223512.5
152,1,56.19589,318758.7,228832.1
151,1,61.81548,333245.9,234081.2
150,1,67.99702,348071.0,239258.2
149,1,74.79673,363233.9,244360.6
148,1,82.2764,378734.9,249384.4
147,1,90.50404,394574.0,254324.7
146,1,99.55444,410751.4,259174.8
145,1,109.5099,427267.0,263927.0
144,1,120.4609,444119.9,268571.9
143,1,132.507,461308.8,273099.0
142,1,145.7577,478831.1,277496.2
141,1,160.3334,496683.3,281750.2
140,1,176.3668,514860.4,285846.5
139,1,194.0034,533355.9,289769.5
138,1,213.4038,552161.4,293502.6
137,1,234.7442,571266.8,297028.5
