id,simulation_id,time,modulu
1,1,3e-11,87198400.0
2,1,3.6e-11,85521030.0
3,1,4.32e-11,83588010.0
4,1,5.184e-11,81377270.0
5,1,6.2208e-11,78871370.0
6,1,7.46496e-11,76060320.0
7,1,8.957952e-11,72944700.0
8,1,1.074954e-10,69538940.0
9,1,1.289945e-10,65873950.0
10,1,1.547934e-10,61998500.0
11,1,1.857521e-10,57978450.0
12,1,2.229025e-10,53893040.0
13,1,2.67483e-10,49828030.0
14,1,3.209796e-10,45866670.0
15,1,3.851755e-10,42080020.0
16,1,4.622106e-10,38519540.0
17,1,5.546528e-10,35213910.0
18,1,6.655833e-10,32170010.0
19,1,7.987e-10,29379110.0
20,1,9.5844e-10,26831080.0
21,1,1.150128e-09,24505110.0
22,1,1.380154e-09,22381640.0
23,1,1.656184e-09,20442860.0
24,1,1.987421e-09,18673240.0
25,1,2.384905e-09,17057620.0
26,1,2.861886e-09,15582670.0
27,1,3.434264e-09,14236450.0
28,1,4.121117e-09,13007860.0
29,1,4.94534e-09,11886290.0
30,1,5.934408e-09,10862770.0
31,1,7.121289e-09,9928895.0
32,1,8.545547e-09,9077038.0
33,1,1.025466e-08,8300258.0
34,1,1.230559e-08,7592248.0
35,1,1.476671e-08,6947077.0
36,1,1.772005e-08,6359801.0
37,1,2.126406e-08,5825545.0
38,1,2.551687e-08,5340325.0
39,1,3.062024e-08,4900349.0
40,1,3.674429e-08,4501902.0
41,1,4.409315e-08,4142326.0
42,1,5.291178e-08,3818932.0
43,1,6.349413e-08,3529159.0
44,1,7.619296e-08,3270888.0
45,1,9.143155e-08,3042188.0
46,1,1.097179e-07,2841354.0
47,1,1.316614e-07,2666557.0
48,1,1.579937e-07,2516083.0
49,1,1.895925e-07,2388130.0
50,1,2.27511e-07,2280733.0
51,1,2.730131e-07,2191738.0
52,1,3.276158e-07,2118677.0
53,1,3.931389e-07,2058910.0
54,1,4.717667e-07,2009697.0
55,1,5.661201e-07,1968312.0
56,1,6.793441e-07,1932279.0
57,1,8.152129e-07,1899581.0
58,1,9.782555e-07,1868773.0
59,1,1.173907e-06,1839004.0
60,1,1.408688e-06,1809904.0
61,1,1.690425e-06,1781404.0
62,1,2.028511e-06,1753548.0
63,1,2.434213e-06,1726372.0
64,1,2.921055e-06,1699857.0
65,1,3.505266e-06,1673934.0
66,1,4.206319e-06,1648508.0
67,1,5.047583e-06,1623476.0
68,1,6.0571e-06,1598738.0
69,1,7.26852e-06,1574196.0
70,1,8.722224e-06,1549761.0
71,1,1.046667e-05,1525347.0
72,1,1.256e-05,1500870.0
73,1,1.5072e-05,1476254.0
74,1,1.80864e-05,1451423.0
75,1,2.170368e-05,1426308.0
76,1,2.604442e-05,1400850.0
77,1,3.125331e-05,1375011.0
78,1,3.750397e-05,1338688.0
79,1,4.500476e-05,1315062.0
80,1,5.400571e-05,1290530.0
81,1,6.480685e-05,1265060.0
82,1,7.776822e-05,1238620.0
83,1,9.332187e-05,1211184.0
84,1,0.0001119862,1182727.0
85,1,0.0001343835,1153231.0
86,1,0.0001612602,1122686.0
87,1,0.0001935122,1091094.0
88,1,0.0002322147,1058465.0
89,1,0.0002786576,1024830.0
