id,simulation_id,frequency,G_prime,G_double_prime
1,1,100000000.0,10471590.0,9403839.0
2,1,83333330.0,9568666.0,8581490.0
3,1,69444440.0,8744059.0,7829253.0
4,1,57870370.0,7991020.0,7140615.0
5,1,48225310.0,7303439.0,6510469.0
6,1,40187760.0,6675774.0,5932017.0
7,1,33489800.0,6103072.0,5401501.0
8,1,27908160.0,5580911.0,4913768.0
9,1,23256800.0,5105417.0,4465303.0
10,1,19380670.0,4673224.0,4049848.0
11,1,16150560.0,4281545.0,3665614.0
12,1,13458800.0,3928130.0,3310849.0
13,1,11215670.0,3611194.0,2980283.0
14,1,9346388.0,3329392.0,2673284.0
15,1,7788657.0,3081555.0,2387723.0
16,1,6490547.0,2866438.0,2124333.0
17,1,5408789.0,2682366.0,1882735.0
18,1,4507324.0,2527001.0,1662663.0
19,1,3756104.0,2397285.0,1465844.0
20,1,3130086.0,2289565.0,1290803.0
21,1,2608405.0,2199952.0,1136925.0
22,1,2173671.0,2124701.0,1003801.0
23,1,1811393.0,2060509.0,888832.2
24,1,1509494.0,2004681.0,790595.5
25,1,1257912.0,1955141.0,706623.1
26,1,1048260.0,1910352.0,635089.1
27,1,873549.7,1869204.0,574154.5
28,1,727958.1,1830896.0,522196.6
29,1,606631.7,1794849.0,477890.1
30,1,505526.4,1760633.0,440121.3
31,1,421272.0,1727922.0,407952.3
32,1,351060.0,1696455.0,380595.6
33,1,292550.0,1666016.0,357388.1
34,1,243791.7,1636421.0,337768.5
35,1,203159.7,1607510.0,321259.5
36,1,169299.8,1579145.0,307453.4
37,1,141083.1,1551200.0,296001.4
38,1,117569.3,1523566.0,286604.3
39,1,97974.41,1496146.0,279006.4
40,1,81645.34,1468853.0,272988.5
41,1,68037.78,1441604.0,268362.6
42,1,56698.15,1414326.0,264967.0
43,1,47248.46,1386950.0,262661.3
44,1,39373.72,1359411.0,261323.3
45,1,32811.43,1331653.0,260847.1
46,1,27342.86,1303620.0,261141.6
47,1,22785.72,1275260.0,262129.8
48,1,18988.1,1246520.0,263745.9
49,1,15823.41,1217340.0,265930.5
50,1,13186.18,1187656.0,268624.2
51,1,10988.48,1157399.0,271761.8
52,1,9157.068,1126503.0,275266.3
53,1,7630.89,1094907.0,279046.6
54,1,6359.075,1062564.0,282998.0
55,1,5299.229,1029446.0,287005.5
56,1,4416.024,995547.0,290948.6
57,1,3680.02,960882.5,294705.8
58,1,3066.684,925488.3,298158.7
59,1,2555.57,889418.7,301193.6
60,1,2129.641,852744.3,303702.9
61,1,1774.701,815550.5,305585.2
62,1,1478.918,777936.9,306744.4
63,1,1232.431,740019.3,307090.0
64,1,1027.026,701879.5,304189.2
65,1,855.8551,663788.1,303065.3
66,1,713.2126,625842.8,300861.1
67,1,594.3438,588227.3,297562.7
68,1,495.2865,551128.6,293185.2
69,1,412.7388,514725.8,287773.4
70,1,343.949,479180.1,281394.8
71,1,286.6241,444630.8,274131.3
72,1,238.8535,411197.3,266070.7
73,1,199.0445,378982.4,257305.1
74,1,165.8705,348073.6,247931.0
75,1,138.2254,318539.9,238049.4
76,1,115.1878,290429.5,227761.2
77,1,95.98985,263770.4,217160.6
78,1,79.99154,238575.9,206330.6
79,1,66.65962,214851.8,195342.8
80,1,55.54968,192600.4,184260.7
81,1,46.2914,171822.6,173145.2
82,1,38.57617,152515.3,162058.0
83,1,32.14681,134668.5,151062.5
84,1,26.789,118262.6,140222.2
85,1,22.32417,103268.6,129599.1
86,1,18.60348,89648.99,119252.3
87,1,15.5029,77357.59,109238.2
88,1,12.91908,66339.48,99609.83
89,1,10.7659,56530.18,90415.65
90,1,8.971583,47856.25,81696.81
91,1,7.47632,40237.22,73485.08
92,1,6.230266,33588.47,65801.62
93,1,5.191889,27824.18,58657.01
94,1,4.326574,22860.04,52052.12
95,1,3.605478,18615.31,45979.74
96,1,3.004565,15014.04,40426.57
97,1,2.503804,11985.47,35375.15
98,1,2.086504,9463.748,30805.3
99,1,1.738753,7387.438,26695.03
100,1,1.448961,5699.026,23021.01
101,1,1.207467,4344.562,19758.68
102,1,1.006223,3273.5,16882.16
103,1,0.838519,2438.881,14364.03
104,1,0.6987658,1797.829,12175.26
105,1,0.5823049,1312.205,10285.61
106,1,0.485254,949.0849,8664.274
107,1,0.4043784,680.862,7280.822
108,1,0.336982,484.9688,6106.052
109,1,0.2808183,343.3637,5112.616
110,1,0.2340153,241.9186,4275.432
111,1,0.1950127,169.7906,3571.906
112,1,0.1625106,118.8185,2982.008
113,1,0.1354255,82.96709,2488.224
114,1,0.1128546,57.84089,2075.415
115,1,0.09404549,40.27775,1730.624
116,1,0.07837124,28.02464,1442.836
117,1,0.06530936,19.48782,1202.741
118,1,0.05442447,13.54596,1002.504
119,1,0.04535373,9.413094,835.5476
120,1,0.03779477,6.539859,696.3637
121,1,0.03149564,4.543013,580.3459
122,1,0.02624637,3.155567,483.6464
123,1,0.02187197,2.191703,403.0531
124,1,0.01822665,1.522178,335.8859
125,1,0.01518887,1.057147,279.9097
126,1,0.01265739,0.7341675,233.2609
127,1,0.01054783,0.5098568,194.3857
128,1,0.008789856,0.354076,161.989
129,1,0.00732488,0.2458904,134.9914
130,1,0.006104067,0.1707593,112.4931
131,1,0.005086722,0.1185838,93.74447
132,1,0.004238935,0.08235034,78.12049
133,1,0.003532446,0.05718796,65.10047
134,1,0.002943705,0.03971397,54.25043
